location;height_in_m;snowlevel_in_cm;lat;lng
Aadorf-Tanikon;536;0;;
Adelboden;1320;0;;
Aigle;381;0;46,3190253;6,970566
Altdorf;449;0;46,8806;8,6394
Andermatt;2282;0;46,60238889;8,6118
Appenzell;780;0;47,3333;9,4167
Beatenberg;1182;0;46,7035407;7,8095511
Binningen;316;0;47,5378697;7,5709878
Bivio;1856;0;46,4677669;9,6504508
Blatten;1535;1;46,4201048;7,8200
Bos-cha;1664;0;;
Bosco Gurin;1480;0;46,3164022;8,4926528
Buchs-Suhr;387;0;47,1655403;9,4708594
Bullet;1202;0;46,8307957;6,5543666
Chasseral;1599;0;;
Chaumont;0;0;47,0325977;6,9642805
Chuenisbaergli-Schneehoehe;0;3;46,4724722;7,5463989
Chur;555;0;46,8521;9,5297
Corvatsch;3315;45;;
Corviglia;2497;3;46,507556;9,819
Crans-Montana;1427;0;46,3118579;7,4823527
Davos;1590;0;46,8091;9,8398
Disentis;1190;0;46,7051127;8,8523754
Echandens;422;0;46,5352022;6,5418995
Elm;965;0;46,92961111;9,1410
Engelberg;1035;0;46,79091667;8,3877
Flahli;940;0;;
Geneva;420;0;46,2;6,1500
Glattalp;1858;15;46,9197334;8,903842
Graechen;0;0;46,1965853;7,8397911
Grimsel-Hospiz;1980;1;46,57252;8,33386
Gruyeres;688;0;;
Hornli;1144;0;47,3709;8,94192
Juf;2050;0;46,445556;9,579167
Kussnacht;520;0;47,0856;8,4421
La Chaux-de-Fonds;1019;1;47,0996;6,8296
La Dole;1670;0;46,4254;6,0995799
Lenzerheide;1484;3;46,7425;9,5981
Locarno-Monti;366;0;46,1717475;8,7903419
Maloja/Maloggia;1799;0;;
Marsens;0;0;46,6558757;7,0644164
Matro;2171;0;;
Meiringen;595;0;46,7251614;8,1909081
Molason;1972;0;;
Napf;1408;0;;
Nyon;430;1;;
Oeschberg-Koppigen;483;0;;
Oron;830;0;;
Piotta;1007;0;;
Plaffeien;1042;0;;
Pontresina;1904;0;46,4929957;9,9024964
Randa;1401;0;;
Rosswald Bergstation;1824;0;;
Saas Fee;1790;0;46,1091073;7,9297122
Samedan;1705;1;46,5339944;9,8729339
Samnaun;1715;0;;
San Bernardino;1639;0;;
Santis;2490;20;47,249385;9,3432343
Schwagalp;1350;4;47,2558;9,30808
Scuol/Schuls;1298;0;46,7968716;10,2977381
Sedrun;1440;0;;
Segl-Maria;0;0;;
Siblingen-Randenhaus;830;0;;
Simplonpass;2000;0;;
St. Gallen;779;0;47,4233;9,3772
Trubschachen-Blapbach;1091;0;46,8904665;7,8210423
Ulrichen;1345;0;46,5065925;8,3048008
Valposchiavo-San Carlo;1078;0;;
Vals (GR);1255;0;46,6178454;9,1804736
Villars-Tiercelin;859;0;;
Wadenswil;463;0;47,2303;8,6722
Weissfluhjoch;2690;58;;
Wildhaus-Oberdorf;1225;2;;
Zermatt;1638;0;45,98305556;7,7822
Zollikofen;553;0;46,9982563;7,4513399
Zuoz;1664;0;;
Zurich;432;0;47,3786;8,5400
