city,lat,lng,location,height_in_m,snowlevel_in_cm
La Chaux-de-Fonds,47.0996,6.8296,La Chaux-de-Fonds, 1019,1
Chur,46.8521,9.5297,Chur, 555,0
Wädenswil,47.2303,8.6722,Wädenswil, 463,0
Nyon,46.382,6.2389,Nyon, 430,0
Davos,46.8091,9.8398,Davos, 1590,19
Sursee,47.1742,8.1081,Sursee, 510,0
Altdorf,46.8806,8.6394,Altdorf, 449,0
Arosa,46.7896111111111,9.63877777777778,Arosa, 1878,48
Braunwald,46.93825,8.987138888888891,Braunwald,,11
Engelberg,46.790916666666696,8.38772222222222,Engelberg, 1035,0
Lenzerheide,46.746888888888904,9.511555555555553,Lenzerheide, 1484,14
Meiringen,46.737861111111094,8.257361111111111,Meiringen, 595,0
Zermatt,45.9830555555556,7.78216666666667,Zermatt, 1638,0
