index,0,1
0,129549,129616
1,120900,661138
2,129607,476483
3,280170,129626
4,129555,129638
5,961881,533192
6,129565,161124
7,129552,86433
8,581892,402418
9,205242,402610
10,129609,840423
11,129612,294082
12,294700,679751
13,133127,253313
14,133125,294083
15,294701,253312
16,129642,294081
17,563436,740261
18,280171,253592
19,120809,435048
20,120853,868641
21,120909,294087
22,280159,887309
23,120827,898948
24,129557,253315
25,476486,0
26,130819,0
27,254338,0
28,129562,0
29,296990,0
30,129553,0
31,120810,0
32,174253,0
33,120851,0
34,613190,0
35,129644,0
36,541521,0
37,129559,0
38,120867,0
39,182404,0
40,129608,0
41,120814,0
42,559481,0
43,129564,0
44,120932,0
45,120843,0
46,467833,0
47,129624,0
48,897134,0
49,427191,0
50,671212,0
51,735245,0
52,133117,0
53,559319,0
54,280935,0
55,129620,0
56,580172,0
57,628639,0
58,129634,0
59,545906,0
60,624204,0
61,129632,0
62,543430,0
63,836001,0
64,757496,0
65,129628,0
66,464419,0
67,507875,0
68,525576,0
69,753862,0
