index,0,1,2,3,4,5,6
0,66260,402953,170361,74495,50120,132375,22074
1,606368,156805,181761,86295,1017272,98023,127452
2,131022,71282,56960,152851,87972,132757,109801
3,1002713,92658,181271,74494,172330,505357,163571
4,132166,163576,66623,1034258,658357,42587,278547
5,363411,25808,83911,132719,243700,52756,548327
6,98066,183167,505552,129941,70386,287655,49145
7,478960,50386,95845,1000760,127417,749236,129934
8,55809,19131,67718,894233,244037,1002839,67770
9,132364,891257,132257,524969,908585,132247,61021
10,107905,53019,53189,132169,908589,118096,41295
11,194361,298932,92091,69078,49363,132385,82300
12,66824,129879,42387,132196,946854,110615,163565
13,132167,69513,52598,535876,812711,91491,129871
14,572008,805138,805136,848634,66271,137081,167477
15,172439,156878,132253,421217,132341,132903,141140
16,486924,475202,432251,132919,75612,83612,69984
17,151546,72259,56942,52725,170354,80500,35159
18,1034251,88681,572053,481559,60626,79473,108431
19,656496,749257,539352,129889,132149,13531,175545
20,919442,132387,538876,163572,131599,76707,916108
21,758855,953483,564887,163538,22945,57507,279713
22,98058,79405,72163,691516,339424,66061,278917
23,107904,318708,567236,229755,701661,129825,132188
24,87845,132199,547745,129870,71740,65768,131027
25,324716,471981,41715,697132,88942,90681,108502
26,477518,478176,198717,129936,539363,98062,0
27,129792,953453,132361,19182,121740,95964,0
28,151256,17434,35105,129812,53419,131021,0
29,103224,132507,78720,563585,74953,641938,0
30,132178,132879,226374,613201,110605,67720,0
31,91548,86298,109466,23697,478168,132207,0
32,52727,168259,82298,132192,161265,87983,0
33,98036,1002821,300049,129968,894835,72302,0
34,5259,717232,906981,167118,167436,586348,0
35,5260,58131,129757,132859,71894,66039,0
36,552520,93810,491089,84011,229754,108432,0
37,131588,188524,108573,935513,911361,301419,0
38,239064,156823,83984,17622,132899,619485,0
39,85190,96325,132450,269640,561717,586357,0
40,550548,5507,332889,80696,93511,511801,0
41,1042438,717225,421201,63575,598230,166310,0
42,656507,733534,29419,132923,27104,777845,0
43,132325,944929,129806,1012548,79346,178186,0
44,127496,70823,132462,487910,27096,252549,0
45,61386,984830,132456,362616,132630,501607,0
46,129920,1002699,127433,132520,108003,503815,0
47,43813,287652,1034253,159453,132297,7507,0
48,322360,942093,541520,979135,421203,167064,0
49,619492,510077,129771,610984,129786,406306,0
50,35616,150252,506888,83356,80795,53420,0
51,132258,98654,89313,132209,1042421,655188,0
52,52659,93577,98034,13550,53127,478174,0
53,129835,42535,224330,166297,132282,641935,0
54,161241,65673,131580,50154,487911,79230,0
55,505565,92102,280965,935509,178520,69125,0
56,71999,53641,506725,717178,80009,132269,0
57,79236,42401,354747,48125,50407,338394,0
58,132172,132821,141182,76618,554034,132505,0
59,270673,863017,513564,65636,864950,332304,0
60,129819,538870,132274,421198,132891,129857,0
61,90790,129863,691452,127467,68190,478167,0
62,912410,87246,175557,163328,132170,486938,0
63,129891,95965,257953,132861,132185,297049,0
64,505388,50153,127519,432242,7420,505169,0
65,53551,87339,108663,155473,132547,84253,0
66,17876,129803,853393,56399,108564,74496,0
67,1034252,503332,43379,622306,361205,491812,0
68,117021,1034249,89626,507024,167793,71175,0
69,375358,132769,137232,129856,422484,1000707,0
