index,0,1,2,3
0,1006859,463972,1017242,745949
1,549724,525016,1000628,587554
2,272874,912379,272902,676152
3,696090,731570,1000570,753811
4,1008037,463974,272852,28525
5,525018,148360,1000643,696349
6,1000642,487912,180213,1006874
7,272906,272847,194348,713801
8,194345,1000571,859947,63618
9,1008017,1000654,71434,545447
10,272901,996886,156883,1012243
11,89333,180236,732619,935041
12,63630,272907,89486,407111
13,1000569,272848,332273,101992
14,272869,272878,549002,154412
15,453523,525019,1000679,723278
16,109594,1006854,70831,172488
17,1000637,912394,1006843,933857
18,336245,1006838,260869,109924
19,525396,310035,524972,100092
20,463042,74009,71348,894436
21,101618,129246,272879,172482
22,262232,698811,525408,172446
23,7873,1006855,1011157,154414
24,455703,108114,1013198,406899
25,180173,463922,463035,154415
26,1000668,272904,260901,172479
27,1013186,1000546,101999,325998
28,89424,1006940,912386,110091
29,272889,507989,515181,172469
30,287882,194344,607312,971625
31,180234,101593,518605,154417
32,405223,180235,635909,172487
33,89324,461550,1000633,172475
34,101993,272850,910533,6843
35,474073,172630,467863,100094
36,405272,525397,661448,154413
37,260856,524973,469886,172493
38,180175,79777,523709,172447
39,455700,74011,546230,172478
40,859950,1000689,74014,300532
41,452369,1000700,1006858,172477
42,524981,272900,950814,63032
43,461549,452371,1000630,100093
44,444836,525379,83734,172481
45,101997,1006839,593773,40704
46,272890,1006852,541641,126671
47,549001,525413,588884,172489
48,1006850,1006841,455704,172480
49,101591,83735,7848,62439
50,61595,135549,65937,154416
51,1006846,405270,1006847,58565
52,272898,524990,564060,172474
53,452368,1000721,8861,172485
54,272856,524997,830688,0
55,525017,1006856,7716,0
56,101594,461545,507987,0
57,107981,132741,607316,0
58,368293,272903,559810,0
59,7816,912391,541671,0
60,524976,1007981,811820,0
61,70919,262233,684230,0
62,101094,70602,618206,0
63,272871,1006960,6688,0
64,525015,194346,486565,0
65,114370,156884,636260,0
66,405256,525003,535180,0
67,688534,336246,995320,0
68,368294,60017,436599,0
69,524979,1006851,1006848,0
