index,0,1,2
0,557303,66401,860559
1,136902,136838,886876
2,136801,136845,569711
3,557166,357337,500644
4,460614,136800,0
5,209131,136821,0
6,622284,347214,0
7,729603,183260,0
8,60282,357340,0
9,136787,622300,0
10,136842,209133,0
11,136796,357339,0
12,357347,529182,0
13,209134,136818,0
14,136872,619560,0
15,357330,225656,0
16,72798,953442,0
17,209132,136905,0
18,136795,599050,0
19,136805,136792,0
20,136797,357332,0
21,136831,601303,0
22,136850,571735,0
23,209130,587823,0
24,136802,60454,0
25,107983,569731,0
26,136836,845427,0
27,259131,67707,0
28,136861,612111,0
29,156748,63136,0
30,357334,890530,0
31,136910,225648,0
32,534525,757862,0
33,136878,499016,0
34,136799,555344,0
35,130749,156793,0
36,136825,156792,0
37,795199,64256,0
38,136833,614310,0
39,357349,556737,0
40,357348,669168,0
41,136870,114414,0
42,136896,870292,0
43,70496,83746,0
44,275661,183248,0
45,474088,564570,0
46,136828,887926,0
47,357342,114412,0
48,183255,823530,0
49,136823,600979,0
50,953443,64257,0
51,357335,657793,0
52,136798,96480,0
53,176465,862133,0
54,346116,911079,0
55,557301,927388,0
56,136900,928784,0
57,136890,62367,0
58,61533,915867,0
59,357345,63499,0
60,777799,61862,0
61,136786,978493,0
62,136790,67710,0
63,136840,860358,0
64,678608,917594,0
65,275660,871601,0
66,136791,744961,0
67,136898,444761,0
68,357343,886877,0
69,136859,347324,0
